product_name, product_band,product_package_has,product_macro_for,product_kcal,product_protein,product_fat,product_carbs,comment_optional
Bagietka - BBQ Strips, Tomcio Paluch,255,100,263,9.7,12,28, 
Bułka grahamka, None,80,100,265,9.6,1.7,56.1, null
Bułka krajzerka, None,60,100,300,9.2,3.6,58.6, null
Burak, None,0,100,42,1.8,0.1,9.5, null
Chałka maślana, None,0,100,337,7.95,7.07,59.02, null
Chleb biały, None,0,100,268,7.7,2.7,52, null
Chleb żytni, 7 ziaren,390,100,262,8.8,9.1,33, null
Cukier, None,0,100,399,0,0,99.8, null
Daktyle, None,0,100,290,2,0.4,74, null
Gularz angielski, Nasze smaki,300,100,186,17,13,0.2, null
Jajko M, Biedronka,0,100,136,12.07,9.48,0.86, null
Jogurt brzoskwinia, Fruvita,400,100,100,3.5,2.6,14.8, null
Jogurt jagodowy, Fruvita,400,100,85,2.7,2.5,12.6, null
Jogurt kiwi, Fruvita,400,100,88,3.3,2.5,12.9, null
Jogurt owoce leśne, Fruvita,400,100,87,2.7,2.5,13.4, null
Jogurt truskawka poziomka, Fruvita,400,100,84,2.7,2.5,12.6, null
Kakao, Deco Morreno,150,100,309,24,11,13, null
Kaszka manna czekoladowa, Dr. Oetker,50,100,93,2.8,0.7,18, null
Kaszka manna waniliowa, Dr. Oetker,47.5,100,89,2.6,0.3,18, null
Kisiel owoce leśne, Dr. Oetker,31.5,100,59,0.1,0,14, null
Kisiel truskawkowy, Dr. Oetker,31.5,100,59,0.1,0,14, null
Kotlet schabowy, None,0,100,151,16.8,4.7,9.4, null
Krajzerka z kebabem, Tomcio Paluch,137,100,306,9.8,16,29, 
Krajzerka z polędwicą drobiową, Tomcio Paluch,128,100,290,11,16,25, 
Makaron spaghetti, Lubella,400,100,351,13,1.4,70, null
Makaron spaghetti cienkie, Lubella,400,100,351,13,1.4,70, null
Masło orzechowe, Vitanella,450,100,611,22,49,17, null
Nutella, Ferrero,600,100,539,6.3,30.9,57.5, null
Paprykarz szczeciński, Dega,135,100,159,5.3,10,10, null
Pasztet z pieczarkami, Delikatesowy,130,100,144,6.2,10,6.9, null
Pasztet z pomidorami, Podlaski,100,100,170,7.4,13,5.4, null
Pizza wrap - gyros, Żabka,238,100,238,9.9,7.6,30, 
Rozpuszczalna kawa zbożowa, Inka,200,100,360,4.8,0.2,79, null
Serek wiejski, Koło,200,100,97,11,6,2.7, null
Sos 1000 wysp, Madero,410,100,271,0.7,25,11, null
Sos czosnkowy, Madero,410,100,334,1,32,8.6, null
Tost maślany, Pano,500,100,267,8.6,3.2,50, null
Tost pszenny, PANO,500,100,244,7.8,1.4,49, null
Tuńczyk kawałki w sosie własnym, Marinero,130,100,75,17,0.5,0.5, null
Ziemniaki ugotowane, None,0,100,70,1.6,0,17, null
